HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol
GAST	17	rs601999	ATP6V0A1	protein_coding	Gast
GATA4	8	rs2740594	CTSB	protein_coding	Gata4
GBA	1	rs35749011	GBA-SYT11	protein_coding	Gba
GBAP1	1	rs35749011	GBA-SYT11	transcribed_unprocessed_pseudogene	NA
GCH1	14	rs11158026	GCH1	protein_coding	Gch1
GDE1	16	rs11343	COQ7	protein_coding	Gde1
GDPD3	16	rs14235	BCKDK-STX1B	protein_coding	Gdpd3
GFRA2	8	rs2280104	SORBS3	protein_coding	Gfra2
GFRA4	20	rs8118008	DDRGK1	protein_coding	Gfra4
GGNBP1	6	rs9275326	HLA-DBQ1	transcribed_unitary_pseudogene	NA
GHDC	17	rs601999	ATP6V0A1	protein_coding	Ghdc
GID4	17	rs11868035	SREBF1-RAI1	protein_coding	Gid4
GIPC3	19	rs62120679	SPPL2B	protein_coding	Gipc3
GLB1L2	11	rs329648	MIR4697	protein_coding	Glb1l2
GLB1L3	11	rs329648	MIR4697	protein_coding	Glb1l3
GLT8D1	3	rs143918452	ALAS1	protein_coding	Glt8d1
GLYCTK	3	rs143918452	ALAS1	protein_coding	Glyctk
GLYCTK-AS1	3	rs143918452	ALAS1	processed_transcript	NA
GMFB	14	rs11158026	GCH1	protein_coding	Gmfb
GNA11	19	rs62120679	SPPL2B	protein_coding	Gna11
GNA15	19	rs62120679	SPPL2B	protein_coding	Gna15
GNG7	19	rs62120679	SPPL2B	protein_coding	Gng7
GNL3	3	rs143918452	ALAS1	protein_coding	Gnl3
GNL3LP1	5	rs2694528	ELOVL7	processed_pseudogene	NA
GOLGA2P11	15	rs2414739	VPS13C	transcribed_unprocessed_pseudogene	NA
GON4L	1	rs35749011	GBA-SYT11	protein_coding	Gon4l
GPANK1	6	rs9275326	HLA-DBQ1	protein_coding	Gpank1
GPHN	14	rs1555399	TMEM229B	protein_coding	Gphn
GPNMB	7	rs199347	GPNMB	protein_coding	Gpnmb
GPR139	16	rs11343	COQ7	protein_coding	Gpr139
GPR62	3	rs143918452	ALAS1	protein_coding	Gpr62
GPR65	14	rs8005172	GALC	protein_coding	Gpr65
GPR89P	6	rs9468199	ZNF184	processed_pseudogene	NA
GPRC5B	16	rs11343	COQ7	protein_coding	Gprc5b
GPRIN3	4	rs356182	SNCA	protein_coding	Gprin3
GPSM3	6	rs9275326	HLA-DBQ1	protein_coding	Gpsm3
GPX1	3	rs12497850	NCKIPSD	protein_coding	Gpx1
GPX5	6	rs9468199	ZNF184	protein_coding	Gpx5
GPX6	6	rs9468199	ZNF184	protein_coding	Gpx6
GRB14	2	rs353116	SCN3A	protein_coding	Grb14
GRK5	10	rs117896735	INPP5F	protein_coding	Grk5
GRK5-IT1	10	rs117896735	INPP5F	sense_intronic	NA
GTF2H3	12	rs11060180	CCDC62	protein_coding	Gtf2h3
GUSBP2	6	rs9468199	ZNF184	transcribed_unprocessed_pseudogene	NA
HAP1	17	rs601999	ATP6V0A1	protein_coding	Hap1
HAX1	1	rs35749011	GBA-SYT11	protein_coding	Hax1
HCAR1	12	rs11060180	CCDC62	protein_coding	Hcar1
HCAR2	12	rs11060180	CCDC62	protein_coding	Hcar2
HCG23	6	rs9275326	HLA-DBQ1	antisense	NA
HCG24	6	rs9275326	HLA-DBQ1	antisense	NA
HCG25	6	rs9275326	HLA-DBQ1	antisense	NA
HCN3	1	rs35749011	GBA-SYT11	protein_coding	Hcn3
HCRT	17	rs601999	ATP6V0A1	protein_coding	Hcrt
HERC2P4	16	rs14235	BCKDK-STX1B	transcribed_unprocessed_pseudogene	NA
HERC3	4	rs356182	SNCA	protein_coding	Herc3
HEXIM1	17	rs17649553	MAPT	protein_coding	Hexim1
HEXIM2	17	rs17649553	MAPT	protein_coding	Hexim2
HIP1R	12	rs11060180	CCDC62	protein_coding	Hip1r
HIST1H2AG	6	rs9468199	ZNF184	protein_coding	Hist1h2an
HIST1H2AH	6	rs9468199	ZNF184	protein_coding	Hist1h2ah
HIST1H2AJ	6	rs9468199	ZNF184	protein_coding	Hist1h2af
HIST1H2AK	6	rs9468199	ZNF184	protein_coding	Hist1h2ac
HIST1H2AL	6	rs9468199	ZNF184	protein_coding	Hist1h2ae
HIST1H2AM	6	rs9468199	ZNF184	protein_coding	Hist1h2ad
HIST1H2BJ	6	rs9468199	ZNF184	protein_coding	Hist2h2be
HIST1H2BK	6	rs9468199	ZNF184	protein_coding	Hist1h2bk
HIST1H2BL	6	rs9468199	ZNF184	protein_coding	Hist1h2bj
HIST1H2BM	6	rs9468199	ZNF184	protein_coding	Hist1h2bn
HIST1H2BN	6	rs9468199	ZNF184	protein_coding	Hist1h2bm
HIST1H2BO	6	rs9468199	ZNF184	protein_coding	Hist1h2bp
HIST1H2BPS2	6	rs9468199	ZNF184	processed_pseudogene	NA
HIST1H3H	6	rs9468199	ZNF184	protein_coding	Hist1h3b
HIST1H3I	6	rs9468199	ZNF184	protein_coding	Hist1h3e
HIST1H3J	6	rs9468199	ZNF184	protein_coding	Hist1h3g
HIST1H4I	6	rs9468199	ZNF184	protein_coding	Hist1h4h
HIST1H4J	6	rs9468199	ZNF184	protein_coding	Hist1h4f
HIST1H4K	6	rs9468199	ZNF184	protein_coding	Hist1h4j
HIST1H4L	6	rs9468199	ZNF184	protein_coding	Hist1h4n
HIST1H4PS1	6	rs9468199	ZNF184	processed_pseudogene	NA
HLA-DMA	6	rs9275326	HLA-DBQ1	protein_coding	H2-DMa
HLA-DOA	6	rs9275326	HLA-DBQ1	protein_coding	H2-Oa
HLA-DOB	6	rs9275326	HLA-DBQ1	protein_coding	H2-Ob
HLA-DPA2	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
HLA-DPA3	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
HLA-DPB2	6	rs9275326	HLA-DBQ1	transcribed_unprocessed_pseudogene	NA
HLA-DQA1	6	rs9275326	HLA-DBQ1	protein_coding	H2-Aa
HLA-DQB1	6	rs9275326	HLA-DBQ1	protein_coding	H2-Ab1
HLA-DQB1-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
HLA-DQB3	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
HLA-DRA	6	rs9275326	HLA-DBQ1	protein_coding	H2-Ea-ps
HLA-DRB5	6	rs9275326	HLA-DBQ1	protein_coding	H2-Eb1
HLA-DRB6	6	rs9275326	HLA-DBQ1	transcribed_unprocessed_pseudogene	NA
HLA-DRB9	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
HLA-Z	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
HMG20B	19	rs62120679	SPPL2B	protein_coding	Hmg20b
HMGB3P27	17	rs601999	ATP6V0A1	processed_pseudogene	NA
HMGN1P26	15	rs2414739	VPS13C	processed_pseudogene	NA
HMGN2P15	17	rs601999	ATP6V0A1	processed_pseudogene	NA
HMGN2P18	1	rs35749011	GBA-SYT11	processed_pseudogene	NA
HNRNPA1P1	6	rs9468199	ZNF184	processed_pseudogene	NA
HNRNPA1P2	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
HNRNPA1P48	16	rs4784227	TOX3	transcribed_processed_pseudogene	NA
HNRNPA1P72	11	rs3793947	DLG2	processed_pseudogene	NA
HPD	12	rs11060180	CCDC62	protein_coding	Hpd
HPRT1P1	4	rs11724635	BST1	processed_pseudogene	NA
HR	8	rs2280104	SORBS3	protein_coding	Hr
HSD17B1	17	rs601999	ATP6V0A1	protein_coding	Hsd17b1
HSD17B1P1	17	rs601999	ATP6V0A1	unprocessed_pseudogene	NA
HSD17B8	6	rs9275326	HLA-DBQ1	protein_coding	H2-Ke6
HSD3B7	16	rs14235	BCKDK-STX1B	protein_coding	Hsd3b7
HSPA12B	20	rs8118008	DDRGK1	protein_coding	Hspa12b
HSPA13	21	rs2823357	USP25	protein_coding	Hspa13
HSPA14	10	rs10906923	FAM171A1	protein_coding	Hspa14
HSPA14	10	rs7077361	ITGA8	protein_coding	Hspa14
HSPA1L	6	rs9275326	HLA-DBQ1	protein_coding	Hspa1l
HSPB9	17	rs601999	ATP6V0A1	protein_coding	Hspb9
HTATSF1P1	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
HTR1F	3	rs115185635	KRT8P25-APOOP2	protein_coding	Htr1f
IARS2P1	8	rs60298754	MMP16	processed_pseudogene	NA
IDH3B	20	rs8118008	DDRGK1	protein_coding	Idh3b
IDUA	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Idua
IFI35	17	rs601999	ATP6V0A1	protein_coding	Ifi35
IFT80	3	rs34016896	NMD3	protein_coding	Ift80
IGF2BP3	7	rs199347	GPNMB	protein_coding	Igf2bp3
IGHV1OR16-1	16	rs14235	BCKDK-STX1B	IG_V_pseudogene	NA
IGHV1OR16-3	16	rs14235	BCKDK-STX1B	IG_V_pseudogene	NA
IGHV3OR16-9	16	rs14235	BCKDK-STX1B	IG_V_gene	NA
IGSF9B	11	rs329648	MIR4697	protein_coding	Igsf9b
IKBKE	1	rs823118	RAB7L1-NUCKS1	protein_coding	Ikbke
IL18R1	2	rs34043159	IL1R2	protein_coding	Il18r1
IL18RAP	2	rs34043159	IL1R2	protein_coding	Il18rap
IL1R1	2	rs34043159	IL1R2	protein_coding	Il1r1
IL1R2	2	rs34043159	IL1R2	protein_coding	Il1r2
IL1RL1	2	rs34043159	IL1R2	protein_coding	Il1rl1
IL1RL2	2	rs34043159	IL1R2	protein_coding	Il1rl2
IL6	7	rs199347	GPNMB	protein_coding	Il6
IL6R	1	rs35749011	GBA-SYT11	protein_coding	Il6ra
INPP5F	10	rs117896735	INPP5F	protein_coding	Inpp5f
IP6K2	3	rs12497850	NCKIPSD	protein_coding	Ip6k2
IQCB2P	6	rs9468199	ZNF184	processed_pseudogene	NA
IQCF1	3	rs143918452	ALAS1	protein_coding	Iqcf1
IQCF5	3	rs143918452	ALAS1	protein_coding	Iqcf5
IQCF5-AS1	3	rs143918452	ALAS1	antisense	NA
IQCK	16	rs11343	COQ7	protein_coding	Iqck
ITGA8	10	rs10906923	FAM171A1	protein_coding	Itga8
ITGA8	10	rs7077361	ITGA8	protein_coding	Itga8
ITGAD	16	rs14235	BCKDK-STX1B	protein_coding	Itgad
ITGAL	16	rs14235	BCKDK-STX1B	protein_coding	Itgal
ITGAM	16	rs14235	BCKDK-STX1B	protein_coding	Itgam
ITGAX	16	rs14235	BCKDK-STX1B	protein_coding	Itgax
ITIH1	3	rs143918452	ALAS1	protein_coding	Itih1
ITIH3	3	rs143918452	ALAS1	protein_coding	Itih3
ITIH4	3	rs143918452	ALAS1	protein_coding	Itih4
ITIH4-AS1	3	rs143918452	ALAS1	antisense	NA
ITPA	20	rs8118008	DDRGK1	protein_coding	Itpa
ITPKB	1	rs4653767	ITPKB	protein_coding	Itpkb
ITPKB-AS1	1	rs4653767	ITPKB	antisense	NA
ITPKB-IT1	1	rs4653767	ITPKB	sense_intronic	NA
ITPR3	6	rs9275326	HLA-DBQ1	protein_coding	Itpr3
ITPRIPL2	16	rs11343	COQ7	protein_coding	Itpripl2
IZUMO4	19	rs62120679	SPPL2B	protein_coding	Izumo4
JAM3	11	rs329648	MIR4697	protein_coding	Jam3
JSRP1	19	rs62120679	SPPL2B	protein_coding	Jsrp1
JUP	17	rs601999	ATP6V0A1	protein_coding	Jup
KANSL1	17	rs17649553	MAPT	protein_coding	Kansl1
KANSL1-AS1	17	rs17649553	MAPT	antisense	NA
KAT2A	17	rs601999	ATP6V0A1	protein_coding	Kat2a
KAT8	16	rs14235	BCKDK-STX1B	protein_coding	Kat8
KCNH4	17	rs601999	ATP6V0A1	protein_coding	Kcnh4
KCNH8	3	rs4073221	SATB1	protein_coding	Kcnh8
KCNK10	14	rs8005172	GALC	protein_coding	Kcnk10
KCNN3	1	rs35749011	GBA-SYT11	protein_coding	Kcnn3
KIAA0907	1	rs35749011	GBA-SYT11	protein_coding	2810403A07Rik
KIF18B	17	rs17649553	MAPT	protein_coding	Kif18b
KIF21A	12	rs76904798	LRRK2	protein_coding	Kif21a
KLHDC8A	1	rs823118	RAB7L1-NUCKS1	protein_coding	Klhdc8a
KLHDC8B	3	rs12497850	NCKIPSD	protein_coding	Klhdc8b
KLHL10	17	rs601999	ATP6V0A1	protein_coding	Klhl10
KLHL11	17	rs601999	ATP6V0A1	protein_coding	Klhl11
KLHL24	3	rs12637471	MCCC1	protein_coding	Klhl24
KLHL6	3	rs12637471	MCCC1	protein_coding	Klhl6
KLHL6-AS1	3	rs12637471	MCCC1	antisense	NA
KLHL7	7	rs199347	GPNMB	protein_coding	Klhl7
KLHL7-AS1	7	rs199347	GPNMB	lincRNA	NA
KMT5A	12	rs11060180	CCDC62	protein_coding	Kmt5a
KNOP1	16	rs11343	COQ7	protein_coding	Knop1
KNTC1	12	rs11060180	CCDC62	protein_coding	Kntc1
KPNA4	3	rs34016896	NMD3	protein_coding	Kpna4
KRT14	17	rs601999	ATP6V0A1	protein_coding	Krt14
KRT16	17	rs601999	ATP6V0A1	protein_coding	Krt16
KRT16P1	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT16P2	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT16P4	17	rs11868035	SREBF1-RAI1	transcribed_processed_pseudogene	NA
KRT16P6	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT17	17	rs601999	ATP6V0A1	protein_coding	Krt17
KRT17P1	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT17P2	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT17P4	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT17P5	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
KRT42P	17	rs601999	ATP6V0A1	transcribed_unprocessed_pseudogene	NA
KRT8P12	3	rs34016896	NMD3	transcribed_processed_pseudogene	NA
KRT8P25	3	rs115185635	KRT8P25-APOOP2	processed_pseudogene	NA
KRT8P31	5	rs2694528	ELOVL7	processed_pseudogene	NA
KRT8P4	8	rs60298754	MMP16	processed_pseudogene	NA
KRTCAP2	1	rs35749011	GBA-SYT11	protein_coding	Krtcap2
KTN1-AS1	14	rs11158026	GCH1	antisense	NA
LAMB2	3	rs12497850	NCKIPSD	protein_coding	Lamb2
LAMP3	3	rs12637471	MCCC1	protein_coding	Lamp3
LAMTOR2	1	rs35749011	GBA-SYT11	protein_coding	Lamtor2
LARP7	4	rs78738012	ANK2	protein_coding	Larp7
LARP7P2	16	rs11343	COQ7	processed_pseudogene	NA
LDB2	4	rs11724635	BST1	protein_coding	Ldb2
LDHAL6DP	11	rs3793947	DLG2	unprocessed_pseudogene	NA
LDHAP5	10	rs117896735	INPP5F	processed_pseudogene	NA
LEFTY1	1	rs4653767	ITPKB	protein_coding	Lefty1
LEFTY2	1	rs4653767	ITPKB	protein_coding	Lefty2
LEMD1-AS1	1	rs823118	RAB7L1-NUCKS1	antisense	NA
LENEP	1	rs35749011	GBA-SYT11	protein_coding	Lenep
LETM1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Letm1
LGALS3	14	rs11158026	GCH1	protein_coding	Lgals3
LGI3	8	rs2280104	SORBS3	protein_coding	Lgi3
LIN9	1	rs4653767	ITPKB	protein_coding	Lin9
LINC00208	8	rs2740594	CTSB	lincRNA	NA
LINC00240	6	rs9468199	ZNF184	lincRNA	NA
LINC00336	6	rs9275326	HLA-DBQ1	lincRNA	NA
LINC00504	4	rs11724635	BST1	lincRNA	NA
LINC00506	3	rs115185635	KRT8P25-APOOP2	lincRNA	NA
LINC00520	14	rs11158026	GCH1	lincRNA	NA
LINC00529	8	rs2740594	CTSB	lincRNA	NA
LINC00533	6	rs9468199	ZNF184	lincRNA	NA
LINC00582	1	rs10797576	SIPA1L2	antisense	NA
LINC00671	17	rs601999	ATP6V0A1	lincRNA	NA
LINC00681	8	rs2740594	CTSB	lincRNA	NA
LINC00888	3	rs12637471	MCCC1	transcribed_unprocessed_pseudogene	NA
LINC00907	18	rs12456492	RIT2	lincRNA	NA
LINC00910	17	rs601999	ATP6V0A1	lincRNA	NA
LINC00919	16	rs4784227	TOX3	lincRNA	NA
LINC00974	17	rs601999	ATP6V0A1	lincRNA	NA
LINC01012	6	rs9468199	ZNF184	lincRNA	NA
LINC01127	2	rs34043159	IL1R2	lincRNA	NA
LINC01146	14	rs8005172	GALC	lincRNA	NA
LINC01561	10	rs117896735	INPP5F	lincRNA	NA
LINC01571	16	rs4784227	TOX3	lincRNA	NA
LINGO3	19	rs62120679	SPPL2B	protein_coding	Lingo3
LIPI	21	rs2823357	USP25	protein_coding	Lipi
LLGL1	17	rs11868035	SREBF1-RAI1	protein_coding	Llgl1
LMNA	1	rs35749011	GBA-SYT11	protein_coding	Lmna
LMNB2	19	rs62120679	SPPL2B	protein_coding	Lmnb2
LONRF1	8	rs2740594	CTSB	protein_coding	Lonrf1
LOXL2	8	rs2280104	SORBS3	protein_coding	Loxl2
LRP2	2	rs1474055	STK39	protein_coding	Lrp2
LRRC37A4P	17	rs17649553	MAPT	transcribed_unprocessed_pseudogene	NA
LRRC43	12	rs11060180	CCDC62	protein_coding	Lrrc43
LRRK2	12	rs76904798	LRRK2	protein_coding	Lrrk2
LRRN2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Lrrn2
LSM1P1	9	rs13294100	SH3GL2	processed_pseudogene	NA
LSM2	6	rs9275326	HLA-DBQ1	protein_coding	Lsm2
LSM7	19	rs62120679	SPPL2B	protein_coding	Lsm7
LTA	6	rs9275326	HLA-DBQ1	protein_coding	Lta
LTB	6	rs9275326	HLA-DBQ1	protein_coding	Ltb
LY6G5B	6	rs9275326	HLA-DBQ1	protein_coding	Ly6g5b
LY6G5C	6	rs9275326	HLA-DBQ1	protein_coding	Ly6g5c
LY6G6C	6	rs9275326	HLA-DBQ1	protein_coding	Ly6g6c
LY6G6D	6	rs9275326	HLA-DBQ1	protein_coding	Ly6g6d
LY6G6F	6	rs9275326	HLA-DBQ1	protein_coding	Ly6g6f
LYPLA2P1	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
LZTS3	20	rs8118008	DDRGK1	protein_coding	Lzts3
MAEA	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Maea
MALSU1	7	rs199347	GPNMB	protein_coding	Malsu1
MAP10	1	rs10797576	SIPA1L2	protein_coding	Map10
MAP3K14	17	rs17649553	MAPT	protein_coding	Map3k14
MAP3K14-AS1	17	rs17649553	MAPT	antisense	NA
MAP3K19	2	rs6430538	ACMSD-TMEM163	protein_coding	Map3k19
MAP4	3	rs12497850	NCKIPSD	protein_coding	Map4
MAP4K4	2	rs34043159	IL1R2	protein_coding	Map4k4
MAP6D1	3	rs12637471	MCCC1	protein_coding	Map6d1
MAPK1IP1L	14	rs11158026	GCH1	protein_coding	Mapk1ip1l
MAPK3	16	rs14235	BCKDK-STX1B	protein_coding	Mapk3
MAPKAPK2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Mapkapk2
MAPRE1P3	2	rs353116	SCN3A	processed_pseudogene	NA
MAPT	17	rs17649553	MAPT	protein_coding	Mapt
MAPT-AS1	17	rs17649553	MAPT	antisense	NA
MAPT-IT1	17	rs17649553	MAPT	sense_intronic	NA
MAVS	20	rs8118008	DDRGK1	protein_coding	Mavs
MBD3	19	rs62120679	SPPL2B	protein_coding	Mbd3
MCCC1	3	rs12637471	MCCC1	protein_coding	Mccc1
MCCC1-AS1	3	rs12637471	MCCC1	antisense	NA
MCFD2P1	6	rs9468199	ZNF184	processed_pseudogene	NA
MCMBP	10	rs117896735	INPP5F	protein_coding	Mcmbp
MDM4	1	rs823118	RAB7L1-NUCKS1	protein_coding	Mdm4
MED9	17	rs11868035	SREBF1-RAI1	protein_coding	Med9
MEIG1	10	rs7077361	ITGA8	protein_coding	Meig1
MEIG1	10	rs10906923	FAM171A1	protein_coding	Meig1
MEX3A	1	rs35749011	GBA-SYT11	protein_coding	Mex3a
MEX3D	19	rs62120679	SPPL2B	protein_coding	Mex3d
MFSD12	19	rs62120679	SPPL2B	protein_coding	Mfsd12
MFSD4A	1	rs823118	RAB7L1-NUCKS1	protein_coding	Mfsd4a
MFSD7	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Mfsd7a
MFSD9	2	rs34043159	IL1R2	protein_coding	Mfsd9
MGAT5	2	rs6430538	ACMSD-TMEM163	protein_coding	Mgat5
MICU3	8	rs591323	FGF20	protein_coding	Micu3
MIEF2	17	rs11868035	SREBF1-RAI1	protein_coding	Mief2
MIR103A2	20	rs8118008	DDRGK1	miRNA	NA
MIR103B2	20	rs8118008	DDRGK1	miRNA	NA
MIR1226	3	rs12497850	NCKIPSD	miRNA	NA
MIR1227	19	rs62120679	SPPL2B	miRNA	NA
MIR1243	4	rs78738012	ANK2	miRNA	NA
MIR128-1	2	rs6430538	ACMSD-TMEM163	miRNA	NA
MIR135A1	3	rs143918452	ALAS1	miRNA	NA
MIR135B	1	rs823118	RAB7L1-NUCKS1	miRNA	NA
MIR15B	3	rs34016896	NMD3	miRNA	NA
MIR16-2	3	rs34016896	NMD3	miRNA	NA
MIR190B	1	rs35749011	GBA-SYT11	miRNA	NA
MIR191	3	rs12497850	NCKIPSD	miRNA	NA
MIR2115	3	rs12497850	NCKIPSD	miRNA	NA
MIR2117HG	17	rs601999	ATP6V0A1	lincRNA	NA
MIR219A1	6	rs9275326	HLA-DBQ1	miRNA	NA
MIR302A	4	rs78738012	ANK2	miRNA	NA
MIR302B	4	rs78738012	ANK2	antisense	NA
MIR302C	4	rs78738012	ANK2	miRNA	NA
MIR302D	4	rs78738012	ANK2	miRNA	NA
MIR3135B	6	rs9275326	HLA-DBQ1	miRNA	NA
MIR3143	6	rs9468199	ZNF184	miRNA	NA
MIR3152	9	rs13294100	SH3GL2	miRNA	NA
MIR3179-3	16	rs11343	COQ7	miRNA	NA
MIR3179-4	16	rs11343	COQ7	miRNA	NA
MIR3180-3	16	rs11343	COQ7	lincRNA	NA
MIR320A	8	rs2280104	SORBS3	miRNA	NA
MIR33B	17	rs11868035	SREBF1-RAI1	miRNA	NA
MIR367	4	rs78738012	ANK2	miRNA	NA
MIR3670-3	16	rs11343	COQ7	miRNA	NA
MIR3670-4	16	rs11343	COQ7	miRNA	NA
MIR3679	2	rs6430538	ACMSD-TMEM163	miRNA	NA
MIR3908	12	rs11060180	CCDC62	miRNA	NA
MIR3926-1	8	rs2740594	CTSB	miRNA	NA
MIR3926-2	8	rs2740594	CTSB	miRNA	NA
MIR3934	6	rs9275326	HLA-DBQ1	miRNA	NA
MIR425	3	rs12497850	NCKIPSD	miRNA	NA
MIR4258	1	rs35749011	GBA-SYT11	miRNA	NA
MIR4271	3	rs12497850	NCKIPSD	miRNA	NA
MIR4304	12	rs11060180	CCDC62	miRNA	NA
MIR4308	14	rs11158026	GCH1	miRNA	NA
MIR4443	3	rs12497850	NCKIPSD	miRNA	NA
MIR4448	3	rs12637471	MCCC1	miRNA	NA
MIR4450	4	rs6812193	FAM47E-SCARB2	miRNA	NA
MIR4518	16	rs14235	BCKDK-STX1B	miRNA	NA
MIR4519	16	rs14235	BCKDK-STX1B	miRNA	NA
MIR4646	6	rs9275326	HLA-DBQ1	miRNA	NA
MIR4681	10	rs117896735	INPP5F	miRNA	NA
MIR4682	10	rs117896735	INPP5F	miRNA	NA
MIR4697HG	11	rs329648	MIR4697	TEC	NA
MIR4772	2	rs34043159	IL1R2	miRNA	NA
MIR4774	2	rs1474055	STK39	miRNA	NA
MIR4795	3	rs115185635	KRT8P25-APOOP2	miRNA	NA
MIR548AH	4	rs6812193	FAM47E-SCARB2	miRNA	NA
MIR548AT	17	rs601999	ATP6V0A1	miRNA	NA
MIR548V	8	rs591323	FGF20	miRNA	NA
MIR5580	14	rs11158026	GCH1	miRNA	NA
MIR5590	2	rs6430538	ACMSD-TMEM163	miRNA	NA
MIR5692A2	8	rs2740594	CTSB	miRNA	NA
MIR5694	14	rs1555399	TMEM229B	miRNA	NA
MIR5696	2	rs34043159	IL1R2	miRNA	NA
MIR571	4	rs34311866	TMEM175-GAK-DGKQ	miRNA	NA
MIR598	8	rs2740594	CTSB	miRNA	NA
MIR6085	15	rs2414739	VPS13C	miRNA	NA
MIR6511A4	16	rs11343	COQ7	miRNA	NA
MIR6738	1	rs35749011	GBA-SYT11	miRNA	NA
MIR6769B	1	rs823118	RAB7L1-NUCKS1	miRNA	NA
MIR6770-3	16	rs11343	COQ7	miRNA	NA
MIR6777	17	rs11868035	SREBF1-RAI1	miRNA	NA
MIR6780A	17	rs601999	ATP6V0A1	miRNA	NA
MIR6781	17	rs601999	ATP6V0A1	miRNA	NA
MIR6783	17	rs17649553	MAPT	miRNA	NA
MIR6784	17	rs17649553	MAPT	miRNA	NA
MIR6823	3	rs12497850	NCKIPSD	miRNA	NA
MIR6832	6	rs9275326	HLA-DBQ1	miRNA	NA
MIR6833	6	rs9275326	HLA-DBQ1	miRNA	NA
MIR762	16	rs14235	BCKDK-STX1B	miRNA	NA
MIR762HG	16	rs14235	BCKDK-STX1B	antisense	NA
MIR7850	19	rs62120679	SPPL2B	miRNA	NA
MIR8064	3	rs143918452	ALAS1	miRNA	NA
MIR8067	15	rs2414739	VPS13C	miRNA	NA
MIR8082	4	rs78738012	ANK2	miRNA	NA
MIR92B	1	rs35749011	GBA-SYT11	antisense	NA
MIR99A	21	rs2823357	USP25	miRNA	NA
MIR99AHG	21	rs2823357	USP25	lincRNA	NA
MIRLET7C	21	rs2823357	USP25	miRNA	NA
MIRLET7G	3	rs143918452	ALAS1	miRNA	NA
MIXL1	1	rs4653767	ITPKB	protein_coding	Mixl1
MKNK2	19	rs62120679	SPPL2B	protein_coding	Mknk2
MLX	17	rs601999	ATP6V0A1	protein_coding	Mlx
MLXIP	12	rs11060180	CCDC62	protein_coding	Mlxip
MMP16	8	rs60298754	MMP16	protein_coding	Mmp16
MMRN1	4	rs356182	SNCA	protein_coding	Mmrn1
MOB3A	19	rs62120679	SPPL2B	protein_coding	Mob3a
MPHOSPH9	12	rs11060180	CCDC62	protein_coding	Mphosph9
MPP5	14	rs1555399	TMEM229B	protein_coding	Mpp5
MPRIP	17	rs11868035	SREBF1-RAI1	protein_coding	Mprip
MPRIP-AS1	17	rs11868035	SREBF1-RAI1	antisense	NA
MRPL49P2	8	rs591323	FGF20	processed_pseudogene	NA
MRPS18AP1	3	rs12497850	NCKIPSD	processed_pseudogene	NA
MRPS26	20	rs8118008	DDRGK1	protein_coding	Mrps26
MSH5	6	rs9275326	HLA-DBQ1	protein_coding	Msh5
MSR1	8	rs591323	FGF20	protein_coding	Msr1
MST1	3	rs12497850	NCKIPSD	protein_coding	Mst1
MSTO1	1	rs35749011	GBA-SYT11	protein_coding	Msto1
MSTO2P	1	rs35749011	GBA-SYT11	unprocessed_pseudogene	NA
MTCO3P1	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
MTCYBP42	7	rs199347	GPNMB	processed_pseudogene	NA
MTMR7	8	rs591323	FGF20	protein_coding	Mtmr7
MTMR9	8	rs2740594	CTSB	protein_coding	Mtmr9
MTUS1	8	rs591323	FGF20	protein_coding	Mtus1
MTX1	1	rs35749011	GBA-SYT11	protein_coding	Mtx1
MTX1P1	1	rs35749011	GBA-SYT11	unprocessed_pseudogene	NA
MUC19	12	rs76904798	LRRK2	processed_transcript	NA
MUM1	19	rs62120679	SPPL2B	protein_coding	Mum1
MUSTN1	3	rs143918452	ALAS1	protein_coding	Mustn1
MYL8P	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
