HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol	expression	lin.exprs	specific	co.reg	diff	score	pLI	score.pLI
KLHDC8B	3	rs12497850	NCKIPSD	protein_coding	Klhdc8b	1	0	0	0	1	2	0.010421420264697	2.01
RDH11	14	rs1555399	TMEM229B	protein_coding	Rdh11	1	0	0	0	1	2	0.00966533141048819	2.01
CCDC90B	11	rs3793947	DLG2	protein_coding	Ccdc90b	1	1	0	0	0	2	0.0090638207534691	2.009
NCKIPSD	3	rs12497850	NCKIPSD	protein_coding	Nckipsd	1	1	0	0	0	2	0.00713136165785669	2.007
PARP1	1	rs4653767	ITPKB	protein_coding	Parp1	1	1	0	0	0	2	0.00699693078764991	2.007
BCKDK	16	rs14235	BCKDK-STX1B	protein_coding	Bckdk	1	0	0	0	1	2	0.00580435804002904	2.006
C20orf194	20	rs8118008	DDRGK1	protein_coding	4930402H24Rik	1	1	0	0	0	2	0.00600469217397855	2.006
CREG2	2	rs34043159	IL1R2	protein_coding	Creg2	0	1	0	0	1	2	0.00561130743800167	2.006
R3HDM1	2	rs6430538	ACMSD-TMEM163	protein_coding	R3hdm1	1	1	0	0	0	2	0.00602513988409452	2.006
FBXO34	14	rs11158026	GCH1	protein_coding	Fbxo34	1	1	0	0	0	2	0.00459847722302636	2.005
STK19	6	rs9275326	HLA-DBQ1	protein_coding	Stk19	1	0	0	0	1	2	0.00461708135223375	2.005
TUBG2	17	rs601999	ATP6V0A1	protein_coding	Tubg2	1	0	0	0	1	2	0.00431001948765521	2.004
HSPA13	21	rs2823357	USP25	protein_coding	Hspa13	1	1	0	0	0	2	0.00188636989282119	2.002
DIABLO	12	rs11060180	CCDC62	protein_coding	Diablo	1	1	0	0	0	2	0.000889964950590053	2.001
TLE2	19	rs62120679	SPPL2B	protein_coding	Tle2	1	0	0	0	1	2	0.000766444994989725	2.001
AARSD1	17	rs601999	ATP6V0A1	protein_coding	Aarsd1	1	1	0	0	0	2	2.43909906368394e-07	2
ABHD14A	3	rs143918452	ALAS1	protein_coding	Abhd14a	1	1	0	0	0	2	0.000234514195858804	2
ACBD4	17	rs17649553	MAPT	protein_coding	Acbd4	1	0	0	0	1	2	1.82643064951694e-05	2
ADAM15	1	rs35749011	GBA-SYT11	protein_coding	Adam15	1	0	0	0	1	2	1.07719204651477e-11	2
ASH1L	1	rs35749011	GBA-SYT11	protein_coding	Ash1l	0	1	0	0	0	1	0.999999999999834	2
ATF6B	6	rs9275326	HLA-DBQ1	protein_coding	Atf6b	1	1	0	0	0	2	1.6770144203098e-06	2
BSN	3	rs12497850	NCKIPSD	protein_coding	Bsn	0	1	0	0	0	1	0.999999992077176	2
C16orf62	16	rs11343	COQ7	protein_coding	9030624J02Rik	1	1	0	0	0	2	1.28585119520756e-05	2
CACNA1D	3	rs143918452	ALAS1	protein_coding	Cacna1d	0	1	0	0	0	1	0.99999999998943	2
CD2BP2	16	rs14235	BCKDK-STX1B	protein_coding	Cd2bp2	1	1	0	0	0	2	0.000336174209255009	2
CDC42BPA	1	rs4653767	ITPKB	protein_coding	Cdc42bpa	0	1	0	0	0	1	0.99992014796463	2
CELSR3	3	rs12497850	NCKIPSD	protein_coding	Celsr3	0	1	0	0	0	1	0.999656221390747	2
CHD9	16	rs4784227	TOX3	protein_coding	Chd9	0	1	0	0	0	1	0.999999928588994	2
COQ7	16	rs11343	COQ7	protein_coding	Coq7	1	1	0	0	0	2	4.67860434510292e-05	2
CUTA	6	rs9275326	HLA-DBQ1	protein_coding	Cuta	1	1	0	0	0	2	1.14218167340545e-05	2
DALRD3	3	rs12497850	NCKIPSD	protein_coding	Dalrd3	1	1	0	0	0	2	1.84813920683629e-05	2
DAZAP1	19	rs62120679	SPPL2B	protein_coding	Dazap1	0	0	0	0	1	1	0.999571003507893	2
DDRGK1	20	rs8118008	DDRGK1	protein_coding	Ddrgk1	1	1	0	0	0	2	0.000149759368683589	2
DDX55	12	rs11060180	CCDC62	protein_coding	Ddx55	1	1	0	0	0	2	6.00815721436613e-06	2
FAM45A	10	rs117896735	INPP5F	protein_coding	Fam45a	1	1	0	0	0	2	0.000243198672562155	2
FLII	17	rs11868035	SREBF1-RAI1	protein_coding	Flii	1	1	0	0	0	2	3.31006863649052e-06	2
GON4L	1	rs35749011	GBA-SYT11	protein_coding	Gon4l	0	1	0	0	0	1	0.999998891638014	2
HAX1	1	rs35749011	GBA-SYT11	protein_coding	Hax1	1	1	0	0	0	2	1.10582340278236e-05	2
ITPA	20	rs8118008	DDRGK1	protein_coding	Itpa	1	1	0	0	0	2	8.97319725886936e-05	2
JAM3	11	rs329648	MIR4697	protein_coding	Jam3	1	1	0	0	0	2	0.000178704009379398	2
KANSL1	17	rs17649553	MAPT	protein_coding	Kansl1	0	1	0	0	0	1	0.999733505943003	2
KIF21A	12	rs76904798	LRRK2	protein_coding	Kif21a	1	1	0	0	0	2	6.18012815847982e-05	2
KLHL7	7	rs199347	GPNMB	protein_coding	Klhl7	1	1	0	0	0	2	0.000319112118508392	2
KNOP1	16	rs11343	COQ7	protein_coding	Knop1	1	1	0	0	0	2	3.16682440044249e-05	2
LGI3	8	rs2280104	SORBS3	protein_coding	Lgi3	1	1	0	0	0	2	1.94564245688285e-05	2
MAP4K4	2	rs34043159	IL1R2	protein_coding	Map4k4	0	1	0	0	0	1	0.999998979047087	2
MGAT5	2	rs6430538	ACMSD-TMEM163	protein_coding	Mgat5	1	0	0	0	0	1	0.999925016569622	2
NBR1	17	rs601999	ATP6V0A1	protein_coding	Nbr1	1	1	0	0	0	2	0.000436706949984189	2
NDUFAF2	5	rs2694528	ELOVL7	protein_coding	Ndufaf2	1	1	0	0	0	2	3.85650772594405e-07	2
NDUFAF3	3	rs12497850	NCKIPSD	protein_coding	Ndufaf3	1	1	0	0	0	2	4.85972513641338e-05	2
NEU1	6	rs9275326	HLA-DBQ1	protein_coding	Neu1	1	1	0	0	0	2	1.93153899716433e-05	2
NUDT18	8	rs2280104	SORBS3	protein_coding	Nudt18	1	1	0	0	0	2	0.000135276357888308	2
OGFOD2	12	rs11060180	CCDC62	protein_coding	Ogfod2	1	1	0	0	0	2	3.80505928088838e-07	2
PARL	3	rs12637471	MCCC1	protein_coding	Parl	1	1	0	0	0	2	1.07316888361272e-05	2
PHF1	6	rs9275326	HLA-DBQ1	protein_coding	Phf1	0	0	0	0	1	1	0.999558759279796	2
PITPNM2	12	rs11060180	CCDC62	protein_coding	Pitpnm2	1	0	0	0	0	1	0.999993632310422	2
PSMD9	12	rs11060180	CCDC62	protein_coding	Psmd9	1	1	0	0	0	2	3.77628232193741e-05	2
R3HCC1	8	rs2280104	SORBS3	protein_coding	R3hcc1	1	0	0	0	1	2	0	2
RAB3GAP1	2	rs6430538	ACMSD-TMEM163	protein_coding	Rab3gap1	1	1	0	0	0	2	3.66101381631237e-05	2
RND2	17	rs601999	ATP6V0A1	protein_coding	Rnd2	1	0	0	0	1	2	0.000138854210054274	2
SCN1A	2	rs353116	SCN3A	protein_coding	Scn1a	0	1	0	0	0	1	0.999999999535395	2
SCN9A	2	rs353116	SCN3A	protein_coding	Scn9a	0	1	0	0	1	2	9.30185484244833e-13	2
SKIV2L	6	rs9275326	HLA-DBQ1	protein_coding	Skiv2l	1	1	0	0	0	2	1.11011779473699e-15	2
SLC25A20	3	rs12497850	NCKIPSD	protein_coding	Slc25a20	1	0	0	0	1	2	2.04566835698354e-07	2
SMG1	16	rs11343	COQ7	protein_coding	Smg1	0	1	0	0	0	1	0.999999999999956	2
SPPL2B	19	rs62120679	SPPL2B	protein_coding	Sppl2b	1	0	0	0	1	2	0	2
SRCAP	16	rs14235	BCKDK-STX1B	protein_coding	Srcap	1	0	0	0	0	1	0.999999997075562	2
STAT3	17	rs601999	ATP6V0A1	protein_coding	Stat3	0	1	0	0	0	1	0.999989193151158	2
STX4	16	rs14235	BCKDK-STX1B	protein_coding	Stx4a	0	1	0	0	1	2	9.66202483351248e-05	2
TAPBP	6	rs9275326	HLA-DBQ1	protein_coding	Tapbp	1	0	0	0	1	2	0.000393581688587975	2
THYN1	11	rs329648	MIR4697	protein_coding	Thyn1	1	1	0	0	0	2	1.40363665599038e-09	2
TLN2	15	rs2414739	VPS13C	protein_coding	Tln2	0	1	0	0	0	1	0.999853230773704	2
USP19	3	rs12497850	NCKIPSD	protein_coding	Usp19	1	0	0	0	0	1	0.999991981492882	2
USP4	3	rs12497850	NCKIPSD	protein_coding	Usp4	1	1	0	0	0	2	6.20193619608728e-07	2
VPS16	20	rs8118008	DDRGK1	protein_coding	Vps16	1	1	0	0	0	2	2.29458119355575e-05	2
WHSC1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Nsd1	0	1	0	0	0	1	0.999999325434983	2
XPO7	8	rs2280104	SORBS3	protein_coding	Xpo7	0	1	0	0	0	1	0.999999311353521	2
ZSCAN26	6	rs9468199	ZNF184	protein_coding	Zscan26	1	1	0	0	0	2	0	2
MDM4	1	rs823118	RAB7L1-NUCKS1	protein_coding	Mdm4	1	0	0	0	0	1	0.998569577969579	1.999
SAMD4A	14	rs11158026	GCH1	protein_coding	Samd4	0	1	0	0	0	1	0.999267731904104	1.999
SIPA1L2	1	rs10797576	SIPA1L2	protein_coding	Sipa1l2	0	0	0	0	1	1	0.999219705697118	1.999
TIAL1	10	rs117896735	INPP5F	protein_coding	Tial1	0	1	0	0	0	1	0.998790731658321	1.999
TRIM46	1	rs35749011	GBA-SYT11	protein_coding	Trim46	1	0	0	0	0	1	0.998652125444883	1.999
PRKCD	3	rs143918452	ALAS1	protein_coding	Prkcd	0	0	0	0	1	1	0.997593706576692	1.998
UBQLN4	1	rs35749011	GBA-SYT11	protein_coding	Ubqln4	0	1	0	0	0	1	0.997522419654586	1.998
RBBP5	1	rs823118	RAB7L1-NUCKS1	protein_coding	Rbbp5	1	0	0	0	0	1	0.995054147429424	1.995
ATP11B	3	rs12637471	MCCC1	protein_coding	Atp11b	0	1	0	0	0	1	0.992834850949756	1.993
HSPA14	10	rs10906923	FAM171A1	protein_coding	Hspa14	0	1	0	0	0	1	0.991685161782873	1.992
HSPA14	10	rs7077361	ITGA8	protein_coding	Hspa14	0	1	0	0	0	1	0.991685161782873	1.992
USP25	21	rs2823357	USP25	protein_coding	Usp25	0	1	0	0	0	1	0.990130458125693	1.99
ARIH2	3	rs12497850	NCKIPSD	protein_coding	Arih2	1	0	0	0	0	1	0.987412494790781	1.987
ACBD3	1	rs4653767	ITPKB	protein_coding	Acbd3	0	1	0	0	0	1	0.981823329864037	1.982
MLXIP	12	rs11060180	CCDC62	protein_coding	Mlxip	1	0	0	0	0	1	0.975747589022912	1.976
RNF123	3	rs12497850	NCKIPSD	protein_coding	Rnf123	1	0	0	0	0	1	0.969714693858756	1.97
UBE2Q1	1	rs35749011	GBA-SYT11	protein_coding	Ube2q1	0	1	0	0	0	1	0.969363486984384	1.969
CCAR2	8	rs2280104	SORBS3	protein_coding	Ccar2	1	0	0	0	0	1	0.960454889427648	1.96
NUP54	4	rs6812193	FAM47E-SCARB2	protein_coding	Nup54	1	0	0	0	0	1	0.96017275018188	1.96
RAB30	11	rs3793947	DLG2	protein_coding	Rab30	1	0	0	0	0	1	0.959123959685969	1.959
FLCN	17	rs11868035	SREBF1-RAI1	protein_coding	Flcn	0	1	0	0	0	1	0.958489798196264	1.958
SLC2A13	12	rs76904798	LRRK2	protein_coding	Slc2a13	0	1	0	0	0	1	0.956100908800451	1.956
RORA	15	rs2414739	VPS13C	protein_coding	Rora	1	0	0	0	0	1	0.953196549708048	1.953
HEXIM1	17	rs17649553	MAPT	protein_coding	Hexim1	0	1	0	0	0	1	0.944400234927573	1.944
STX1B	16	rs14235	BCKDK-STX1B	protein_coding	Stx1b	1	0	0	0	0	1	0.944474732619076	1.944
CSNK1G2	19	rs62120679	SPPL2B	protein_coding	Csnk1g2	1	0	0	0	0	1	0.923449277236984	1.923
PYGO2	1	rs35749011	GBA-SYT11	protein_coding	Pygo2	1	0	0	0	0	1	0.923104365059159	1.923
USO1	4	rs6812193	FAM47E-SCARB2	protein_coding	Uso1	0	1	0	0	0	1	0.918011905997378	1.918
KAT8	16	rs14235	BCKDK-STX1B	protein_coding	Kat8	1	0	0	0	0	1	0.912576387976251	1.913
CCNG2	4	rs6812193	FAM47E-SCARB2	protein_coding	Ccng2	0	1	0	0	0	1	0.893204360024237	1.893
PBX2	6	rs9275326	HLA-DBQ1	protein_coding	Pbx2	0	1	0	0	0	1	0.889707316038439	1.89
PHYHIP	8	rs2280104	SORBS3	protein_coding	Phyhip	1	0	0	0	0	1	0.873268767669363	1.873
BMP1	8	rs2280104	SORBS3	protein_coding	Bmp1	0	0	0	0	1	1	0.868760693373601	1.869
FGF17	8	rs2280104	SORBS3	protein_coding	Fgf17	0	0	0	0	1	1	0.865331559549294	1.865
PFDN6	6	rs9275326	HLA-DBQ1	protein_coding	Pfdn6	1	0	0	0	0	1	0.859422179892135	1.859
TWF2	3	rs143918452	ALAS1	protein_coding	Twf2	1	0	0	0	0	1	0.857810163904333	1.858
DAXX	6	rs9275326	HLA-DBQ1	protein_coding	Daxx	1	0	0	0	0	1	0.842736879816879	1.843
ALKBH5	17	rs11868035	SREBF1-RAI1	protein_coding	Alkbh5	0	1	0	0	0	1	0.803934845862911	1.804
ZCCHC8	12	rs11060180	CCDC62	protein_coding	Zcchc8	1	0	0	0	0	1	0.777819067262697	1.778
SF3A2	19	rs62120679	SPPL2B	protein_coding	Sf3a2	1	0	0	0	0	1	0.774375362030151	1.774
NELFE	6	rs9275326	HLA-DBQ1	protein_coding	Nelfe	1	0	0	0	0	1	0.756273167199129	1.756
CDK2AP1	12	rs11060180	CCDC62	protein_coding	Cdk2ap1	0	0	0	0	1	1	0.74236102805821	1.742
SLC41A1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Slc41a1	0	0	0	0	1	1	0.705784064695467	1.706
CERS6	2	rs1474055	STK39	protein_coding	Cers6	1	0	0	0	0	1	0.684541332373748	1.685
VARS	6	rs9275326	HLA-DBQ1	protein_coding	Vars	1	0	0	0	0	1	0.67979413526559	1.68
MPP5	14	rs1555399	TMEM229B	protein_coding	Mpp5	0	1	0	0	0	1	0.660477587444664	1.66
RGS10	10	rs117896735	INPP5F	protein_coding	Rgs10	0	0	0	0	1	1	0.601559967602402	1.602
RPL29	3	rs143918452	ALAS1	protein_coding	Rpl29	0	1	0	0	0	1	0.597262029881945	1.597
COX6A2	16	rs14235	BCKDK-STX1B	protein_coding	Cox6a2	0	0	0	0	1	1	0.549091486087313	1.549
ARG2	14	rs1555399	TMEM229B	protein_coding	Arg2	1	0	0	0	0	1	0.542999038189075	1.543
VPS37A	8	rs591323	FGF20	protein_coding	Vps37a	0	1	0	0	0	1	0.534958339986742	1.535
GPRC5B	16	rs11343	COQ7	protein_coding	Gprc5b	0	0	0	0	1	1	0.527206905590426	1.527
KAT2A	17	rs601999	ATP6V0A1	protein_coding	Kat2a	1	0	0	0	0	1	0.40833206009159	1.408
MAPK1IP1L	14	rs11158026	GCH1	protein_coding	Mapk1ip1l	0	1	0	0	0	1	0.389494276372223	1.389
HEXIM2	17	rs17649553	MAPT	protein_coding	Hexim2	0	0	0	0	1	1	0.368236513275247	1.368
TTC8	14	rs8005172	GALC	protein_coding	Ttc8	0	1	0	0	0	1	0.345392611801702	1.345
RRP9	3	rs143918452	ALAS1	protein_coding	Rrp9	1	0	0	0	0	1	0.3420434837746	1.342
ZSWIM6	5	rs2694528	ELOVL7	protein_coding	Zswim6	0	1	0	0	0	1	0.330184633856795	1.33
ZNF771	16	rs14235	BCKDK-STX1B	protein_coding	Zfp771	1	0	0	0	0	1	0.295812869272627	1.296
TMCC2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Tmcc2	0	1	0	0	0	1	0.288835546910598	1.289
ZNF668	16	rs14235	BCKDK-STX1B	protein_coding	Zfp668	1	0	0	0	0	1	0.26889237334633	1.269
PRR14	16	rs14235	BCKDK-STX1B	protein_coding	Prr14	1	0	0	0	0	1	0.258591291316777	1.259
KLHL24	3	rs12637471	MCCC1	protein_coding	Klhl24	0	1	0	0	0	1	0.252414430146934	1.252
SMIM15	5	rs2694528	ELOVL7	protein_coding	Smim15	0	1	0	0	0	1	0.228320204389897	1.228
GADD45B	19	rs62120679	SPPL2B	protein_coding	Gadd45b	0	0	0	0	1	1	0.185427441870799	1.185
EFNA3	1	rs35749011	GBA-SYT11	protein_coding	Efna3	1	0	0	0	0	1	0.18056410470307	1.181
EML5	14	rs8005172	GALC	protein_coding	Eml5	0	1	0	0	0	1	0.158418534732481	1.158
DSTYK	1	rs823118	RAB7L1-NUCKS1	protein_coding	Dstyk	0	1	0	0	0	1	0.147285745754517	1.147
GPR139	16	rs11343	COQ7	protein_coding	Gpr139	0	0	0	0	1	1	0.144423629277907	1.144
SLC50A1	1	rs35749011	GBA-SYT11	protein_coding	Slc50a1	1	0	0	0	0	1	0.130229792296048	1.13
FLAD1	1	rs35749011	GBA-SYT11	protein_coding	Flad1	1	0	0	0	0	1	0.0917935111458052	1.092
OAZ1	19	rs62120679	SPPL2B	protein_coding	Oaz1	1	0	0	0	0	1	0.0889951573895078	1.089
PIK3C3	18	rs12456492	RIT2	protein_coding	Pik3c3	0	1	0	0	0	1	0.0803177256175585	1.08
PLD6	17	rs11868035	SREBF1-RAI1	protein_coding	Pld6	0	0	0	0	1	1	0.0754626037619383	1.075
RGL2	6	rs9275326	HLA-DBQ1	protein_coding	Rgl2	0	1	0	0	0	1	0.0747682997961984	1.075
TGFB1I1	16	rs14235	BCKDK-STX1B	protein_coding	Tgfb1i1	0	0	0	0	1	1	0.0749169191152651	1.075
PLK5	19	rs62120679	SPPL2B	protein_coding	Plk5	0	0	0	0	1	1	0.0716254602582295	1.072
TMEM163	2	rs6430538	ACMSD-TMEM163	protein_coding	Tmem163	0	0	0	0	1	1	0.0672624651374226	1.067
CDKN3	14	rs11158026	GCH1	protein_coding	Cdkn3	0	0	0	0	1	1	0.0662974565528495	1.066
EHMT2	6	rs9275326	HLA-DBQ1	protein_coding	Ehmt2	1	0	0	0	0	1	0.0644714712842996	1.064
NKIRAS2	17	rs601999	ATP6V0A1	protein_coding	Nkiras2	1	0	0	0	0	1	0.063309457660652	1.063
RASD1	17	rs11868035	SREBF1-RAI1	protein_coding	Rasd1	0	0	0	0	1	1	0.0607160204631021	1.061
RILPL2	12	rs11060180	CCDC62	protein_coding	Rilpl2	1	0	0	0	0	1	0.0608721865653384	1.061
SLC39A3	19	rs62120679	SPPL2B	protein_coding	Slc39a3	1	0	0	0	0	1	0.0608464544153053	1.061
KLHL11	17	rs601999	ATP6V0A1	protein_coding	Klhl11	1	0	0	0	0	1	0.0534677757011955	1.053
MEIG1	10	rs10906923	FAM171A1	protein_coding	Meig1	0	0	0	0	1	1	0.0531737986074582	1.053
MEIG1	10	rs7077361	ITGA8	protein_coding	Meig1	0	0	0	0	1	1	0.0531737986074582	1.053
MSTO1	1	rs35749011	GBA-SYT11	protein_coding	Msto1	1	0	0	0	0	1	0.0418044849918912	1.042
JUP	17	rs601999	ATP6V0A1	protein_coding	Jup	1	0	0	0	0	1	0.0375345368925628	1.038
MUM1	19	rs62120679	SPPL2B	protein_coding	Mum1	1	0	0	0	0	1	0.032092632530893	1.032
DCAKD	17	rs17649553	MAPT	protein_coding	Dcakd	1	0	0	0	0	1	0.0293860851896359	1.029
THOP1	19	rs62120679	SPPL2B	protein_coding	Thop1	1	0	0	0	0	1	0.0234920934710946	1.023
CCDC71	3	rs12497850	NCKIPSD	protein_coding	Ccdc71	1	0	0	0	0	1	0.0169896394893115	1.017
VPS52	6	rs9275326	HLA-DBQ1	protein_coding	Vps52	1	0	0	0	0	1	0.0159632630188721	1.016
LARP7	4	rs78738012	ANK2	protein_coding	Larp7	0	1	0	0	0	1	0.0150803234132968	1.015
GFRA4	20	rs8118008	DDRGK1	protein_coding	Gfra4	1	0	0	0	0	1	0.00834571960566959	1.008
LSM2	6	rs9275326	HLA-DBQ1	protein_coding	Lsm2	1	0	0	0	0	1	0.00596281731563641	1.006
CGRRF1	14	rs11158026	GCH1	protein_coding	Cgrrf1	1	0	0	0	0	1	0.00522692652830377	1.005
LEMD1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Lemd1	0	0	0	0	1	1	0.00457260632601518	1.005
NT5DC2	3	rs143918452	ALAS1	protein_coding	Nt5dc2	1	0	0	0	0	1	0.0046088659492231	1.005
PYCR2	1	rs4653767	ITPKB	protein_coding	Pycr2	1	0	0	0	0	1	0.00506294198593209	1.005
CNTNAP1	17	rs601999	ATP6V0A1	protein_coding	Cntnap1	0	1	0	0	0	1	0.0041087576230276	1.004
RAMP2	17	rs601999	ATP6V0A1	protein_coding	Ramp2	0	0	0	0	1	1	0.00389299156111896	1.004
GAST	17	rs601999	ATP6V0A1	protein_coding	Gast	0	0	0	0	1	1	0.00317378388720094	1.003
ELOVL7	5	rs2694528	ELOVL7	protein_coding	Elovl7	0	1	0	0	0	1	0.00156092226554038	1.002
SEPHS2	16	rs14235	BCKDK-STX1B	protein_coding	Sephs2	1	0	0	0	0	1	0.00178605301440582	1.002
ATPAF2	17	rs11868035	SREBF1-RAI1	protein_coding	Atpaf2	1	0	0	0	0	1	0.00143053764737735	1.001
ATRIP	3	rs12497850	NCKIPSD	protein_coding	Atrip	1	0	0	0	0	1	0.00148697990787471	1.001
DGKQ	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Dgkq	0	1	0	0	0	1	0.0011940236557909	1.001
EZH1	17	rs601999	ATP6V0A1	protein_coding	Ezh1	1	0	0	0	0	1	0.000641437785994428	1.001
RNF149	2	rs34043159	IL1R2	protein_coding	Rnf149	0	1	0	0	0	1	0.000502223698926861	1.001
TLE6	19	rs62120679	SPPL2B	protein_coding	Tle6	0	0	0	0	1	1	0.00101145755365688	1.001
ACAD8	11	rs329648	MIR4697	protein_coding	Acad8	0	1	0	0	0	1	1.16610074814559e-05	1
ANKRD42	11	rs3793947	DLG2	protein_coding	Ankrd42	1	0	0	0	0	1	2.60039143890093e-08	1
AP5S1	20	rs8118008	DDRGK1	protein_coding	Ap5s1	1	0	0	0	0	1	0.000277046194039352	1
ARHGEF2	1	rs35749011	GBA-SYT11	protein_coding	Arhgef2	0	0	0	0	0	0	0.99999323549835	1
ATP8B2	1	rs35749011	GBA-SYT11	protein_coding	Atp8b2	0	0	0	0	0	0	0.999564591733884	1
C1QL1	17	rs17649553	MAPT	protein_coding	C1ql1	0	0	0	0	1	1	0	1
CDK18	1	rs823118	RAB7L1-NUCKS1	protein_coding	Cdk18	0	1	0	0	0	1	7.15896735407714e-08	1
CLK2	1	rs35749011	GBA-SYT11	protein_coding	Clk2	0	0	0	0	0	0	0.999952949082341	1
COASY	17	rs601999	ATP6V0A1	protein_coding	Coasy	1	0	0	0	0	1	1.04516297649836e-07	1
COL11A2	6	rs9275326	HLA-DBQ1	protein_coding	Col11a2	0	0	0	0	0	0	0.999999324603711	1
DOT1L	19	rs62120679	SPPL2B	protein_coding	Dot1l	0	0	0	0	0	0	0.999988961757209	1
DXO	6	rs9275326	HLA-DBQ1	protein_coding	Dxo	1	0	0	0	0	1	4.98479742091705e-10	1
DYRK3	1	rs823118	RAB7L1-NUCKS1	protein_coding	Dyrk3	0	0	0	0	1	1	0.000220921842662409	1
EIF2D	1	rs823118	RAB7L1-NUCKS1	protein_coding	Eif2d	0	0	0	0	1	1	6.59630829154375e-06	1
ERCC8	5	rs2694528	ELOVL7	protein_coding	Ercc8	1	0	0	0	0	1	8.5728345941739e-09	1
FAM13A	4	rs356182	SNCA	protein_coding	Fam13a	0	0	0	0	1	1	2.45411477501299e-14	1
FAM189B	1	rs35749011	GBA-SYT11	protein_coding	Fam189b	1	0	0	0	0	1	0.000482815313135408	1
FMNL1	17	rs17649553	MAPT	protein_coding	Fmnl1	0	0	0	0	0	0	0.999687036181592	1
GAMT	19	rs62120679	SPPL2B	protein_coding	Gamt	0	0	0	0	1	1	2.64994350917261e-05	1
GNL3	3	rs143918452	ALAS1	protein_coding	Gnl3	0	1	0	0	0	1	1.53959646341731e-09	1
HIP1R	12	rs11060180	CCDC62	protein_coding	Hip1r	0	1	0	0	0	1	1.442966534484e-06	1
IGF2BP3	7	rs199347	GPNMB	protein_coding	Igf2bp3	0	0	0	0	0	0	0.999726189174336	1
IGSF9B	11	rs329648	MIR4697	protein_coding	Igsf9b	0	0	0	0	0	0	0.99987339409272	1
KCNH4	17	rs601999	ATP6V0A1	protein_coding	Kcnh4	0	0	0	0	0	0	0.999978751386027	1
LIN9	1	rs4653767	ITPKB	protein_coding	Lin9	0	0	0	0	0	0	0.999926500458297	1
LRP2	2	rs1474055	STK39	protein_coding	Lrp2	0	0	0	0	0	0	0.99999999999851	1
MALSU1	7	rs199347	GPNMB	protein_coding	Malsu1	1	0	0	0	0	1	1.78046134626036e-08	1
MAVS	20	rs8118008	DDRGK1	protein_coding	Mavs	0	0	0	0	1	1	1.76704995629944e-07	1
MTUS1	8	rs591323	FGF20	protein_coding	Mtus1	1	0	0	0	0	1	1.1438280194915e-05	1
NAAA	4	rs6812193	FAM47E-SCARB2	protein_coding	Naaa	0	0	0	0	1	1	3.31295406720326e-06	1
NAGLU	17	rs601999	ATP6V0A1	protein_coding	Naglu	1	0	0	0	0	1	0.000404074411747293	1
NMD3	3	rs34016896	NMD3	protein_coding	Nmd3	1	0	0	0	0	1	4.4226191654738e-05	1
NOSTRIN	2	rs1474055	STK39	protein_coding	Nostrin	0	1	0	0	0	1	3.5797265988291e-10	1
NT5C3B	17	rs601999	ATP6V0A1	protein_coding	Nt5c3b	1	0	0	0	0	1	7.88066852140565e-05	1
PBXIP1	1	rs35749011	GBA-SYT11	protein_coding	Pbxip1	0	0	0	0	1	1	5.79843921369484e-07	1
PCF11	11	rs3793947	DLG2	protein_coding	Pcf11	0	0	0	0	0	0	0.999999873982097	1
PCSK4	19	rs62120679	SPPL2B	protein_coding	Pcsk4	0	0	0	0	1	1	6.59246485167205e-13	1
POLR3D	8	rs2280104	SORBS3	protein_coding	Polr3d	1	0	0	0	0	1	5.65731890104614e-11	1
PRRC2A	6	rs9275326	HLA-DBQ1	protein_coding	Prrc2a	0	0	0	0	0	0	0.999999999990663	1
PRSS36	16	rs14235	BCKDK-STX1B	protein_coding	Prss36	1	0	0	0	0	1	4.42359099895437e-13	1
RBM11	21	rs2823357	USP25	protein_coding	Rbm11	0	0	0	0	1	1	2.91015515635607e-05	1
RFT1	3	rs143918452	ALAS1	protein_coding	Rft1	0	0	0	0	1	1	3.17066987972078e-06	1
RNF40	16	rs14235	BCKDK-STX1B	protein_coding	Rnf40	0	0	0	0	0	0	0.999994909279865	1
SCN2A	2	rs353116	SCN3A	protein_coding	Scn2a	0	0	0	0	0	0	0.999999992314383	1
SDAD1	4	rs6812193	FAM47E-SCARB2	protein_coding	Sdad1	0	1	0	0	0	1	3.78400058799568e-09	1
SDE2	1	rs4653767	ITPKB	protein_coding	Sde2	0	1	0	0	0	1	5.17001532782485e-07	1
SETD1A	16	rs14235	BCKDK-STX1B	protein_coding	Setd1a	0	0	0	0	0	0	0.999996231355084	1
SPATA7	14	rs8005172	GALC	protein_coding	Spata7	1	0	0	0	0	1	3.13904072808556e-09	1
STAT5A	17	rs601999	ATP6V0A1	protein_coding	Stat5a	0	0	0	0	0	0	0.999866029464463	1
STBD1	4	rs6812193	FAM47E-SCARB2	protein_coding	Stbd1	0	0	0	0	1	1	0	1
SYNGAP1	6	rs9275326	HLA-DBQ1	protein_coding	Syngap1	0	0	0	0	0	0	0.999998449747972	1
TCTN2	12	rs11060180	CCDC62	protein_coding	Tctn2	0	0	0	0	1	1	1.97172300054813e-05	1
