HumanSymbol	MouseSymbol
HS2ST1	Hs2st1
LYNX1	Lynx1
MID2	Mid2
NR0B2	Nr0b2
TENM4	Tenm4
OSR1	Osr1
DAZAP2	Dazap2
RNASEL	Rnasel
SCN11A	Scn11a
SPRY4	Spry4
TEKT2	Tekt2
TREX2	Trex2
USP18	Usp18
VAX2	Vax2
ADGRE5	Adgre5
FTO	Fto
MAP3K1	Map3k1
NUBP2	Nubp2
CREB3L1	Creb3l1
ORC4	Orc4
MOK	Mok
SLC27A1	Slc27a1
NCDN	Ncdn
CASP8AP2	Casp8ap2
COPS4	Cops4
COPS7B	Cops7b
SH2D1B	Sh2d1b1
GPRIN1	Gprin1
ZNF346	Zfp346
PRDX5	Prdx5
RACGAP1	Racgap1
ARHGEF28	Arhgef28
ST6GALNAC5	St6galnac5
ECSIT	Ecsit
SPAG1	Spag1
TINAG	Tinag
PLA2G2E	Pla2g2e
PLA2G2F	Pla2g2f
BRD7	Brd7
IRF5	Irf5
NPRL3	Nprl3
CRB1	Crb1
PUDP	Pudp
ELL2	Ell2
FRAT2	Frat2
ADAT1	Adat1
ICOS	Icos
TRIM29	Trim29
RERE	Rere
STAP1	Stap1
TMEM59L	Tmem59l
CHIC2	Chic2
AHSA1	Ahsa1
TPX2	Tpx2
CBLC	Cblc
CDK20	Cdk20
CDC42EP4	Cdc42ep4
CHORDC1	Chordc1
CIZ1	Ciz1
GTPBP10	Gtpbp10
CLDN14	Cldn14
CLDN17	Cldn17
CLDN8	Cldn8
LMOD1	Lmod1
DDAH1	Ddah1
INTS6	Ints6
DNAI1	Dnaic1
LPAR3	Lpar3
EML2	Eml2
EPB41L1	Epb41l1
FBXL3	Fbxl3
FBXL4	Fbxl4
FBXL5	Fbxl5
FBXL6	Fbxl6
FBXW2	Fbxw2
FBXO2	Fbxo2
FBXO3	Fbxo3
FBXO4	Fbxo4
FBXO5	Fbxo5
FBXO7	Fbxo7
FBXO8	Fbxo8
FOXB1	Foxb1
FOXI1	Foxi1
TIMM10B	Timm10b
RABGAP1L	Rabgap1l
GTF3C4	Gtf3c4
HAAO	Haao
ITGA11	Itga11
MGAT4A	Mgat4a
MGEA5	Mgea5
MUTYH	Mutyh
GTPBP6	Gtpbp6
NT5C2	Nt5c2
SCAP	Scap
SIRT4	Sirt4
SLC7A8	Slc7a8
TKTL1	Tktl1
ZNF212	Zfp212
HBP1	Hbp1
LAMP5	Lamp5
TTLL1	Ttll1
RHBDD3	Rhbdd3
DNAJB5	Dnajb5
KCNE5	Kcne1l
KCNG2	Kcng2
KCNH4	Kcnh4
ACAP2	Acap2
TRAM2	Tram2
KEAP1	Keap1
MAGI2	Magi2
FAIM2	Faim2
KIN	Kin
SLC39A6	Slc39a6
PLA2G15	Pla2g15
MAPK8IP2	Mapk8ip2
MMD	Mmd
TSPAN12	Tspan12
TSPAN33	Tspan33
BAMBI	Bambi
NUFIP1	Nufip1
FBXO9	Fbxo9
OR10J1	Olfr418
ORC3	Orc3
TTC33	Ttc33
OSTF1	Ostf1
GMEB2	Gmeb2
NUPR1	Nupr1
SPDEF	Spdef
PHLDA3	Phlda3
ARFIP2	Arfip2
PRDM4	Prdm4
SEZ6L2	Sez6l2
QPCT	Qpct
RAD54B	Rad54b
RGS17	Rgs17
RLF	Rlf
RPS6KC1	Rps6kc1
SEC14L2	Sec14l2
SEC22A	Sec22a
SEMA3E	Sema3e
SPAG8	Spag8
SNAPIN	Snapin
SPAG6	Spag6l
STEAP1	Steap1
SYNGR4	Syngr4
TBL2	Tbl2
PSD4	Psd4
TIMM8B	Timm8b
TINF2	Tinf2
WBP1	Wbp1
IKZF3	Ikzf3
ZNF281	Zfp281
HMMR	Hmmr
SP1	Sp1
AKAP11	Akap11
ADARB1	Adarb1
NXPH1	Nxph1
ST8SIA3	St8sia3
CNTF	Cntf
ANKRD1	Ankrd1
EIF2AK1	Eif2ak1
FLRT2	Flrt2
EIF3K	Eif3k
DROSHA	Drosha
MGAT4C	Mgat4c
CLCF1	Clcf1
NXT1	Nxt1
CLEC5A	Clec5a
DKK3	Dkk3
MKLN1	Mkln1
ZNF180	Zfp180
PYCARD	Pycard
SAP30BP	Sap30bp
MYLIP	Mylip
DDX25	Ddx25
PRSS50	Prss50
PCSK1N	Pcsk1n
SHPK	Shpk
IL17C	Il17c
FLRT3	Flrt3
MAT2B	Mat2b
RBM15B	Rbm15b
FAM216A	Fam216a
ST8SIA5	St8sia5
HOOK2	Hook2
UBIAD1	Ubiad1
HCFC2	Hcfc2
SNX8	Snx8
C18orf8	3110002H16Rik
PARVB	Parvb
PYCR2	Pycr2
NME7	Nme7
HILPDA	Hilpda
GMPPA	Gmppa
PCDHB1	Pcdhb1
TFPT	Tfpt
GPR132	Gpr132
SNX12	Snx12
NENF	Nenf
TBX21	Tbx21
DSE	Dse
TMOD4	Tmod4
PCOLCE2	Pcolce2
PNMA3	Pnma3
ANAPC2	Anapc2
SERTAD3	Sertad3
DNMT3L	Dnmt3l
ZDHHC8	Zdhhc8
SERTAD1	Sertad1
DMGDH	Dmgdh
NRBP1	Nrbp1
USP25	Usp25
STRN4	Strn4
TNPO2	Tnpo2
KCNIP3	Kcnip3
RAX	Rax
NCKAP1	Nckap1
LRP12	Lrp12
PILRA	Pilra
RCAN3	Rcan3
STOML2	Stoml2
ST6GALNAC6	St6galnac6
MKRN2	Mkrn2
BAZ2A	Baz2a
BAZ2B	Baz2b
BCL2L10	Bcl2l10
DSC2	Dsc2
EPB41L4A	Epb41l4a
GPR162	Gpr162
P3H3	P3h3
C12orf57	Grcc10
CDCA3	Cdca3
SPSB2	Spsb2
HEBP1	Hebp1
HOXC4	Hoxc4
HOXD9	Hoxd9
KSR1	Ksr1
COG1	Cog1
MBD1	Mbd1
MSH5	Msh5
NODAL	Nodal
OTOG	Otog
POU5F1	Pou5f1
PTPN5	Ptpn5
SEMA4A	Sema4a
SEMA4B	Sema4b
SEMA5B	Sema5b
SEMA6B	Sema6b
SNAP91	Snap91
SURF2	Surf2
TCP11	Tcp11
TCTE1	Tcte1
UBP1	Ubp1
FGD2	Fgd2
KRTAP15-1	Krtap15
B9D1	B9d1
NRK	Nrk
AZI2	Azi2
MIXL1	Mixl1
SGK2	Sgk2
PLEK2	Plek2
DOK3	Dok3
PLEKHB1	Plekhb1
CLNK	Clnk
TNFRSF12A	Tnfrsf12a
HRASLS	Hrasls
PALD1	Pald1
SYTL4	Sytl4
MSRB1	Msrb1
DGUOK	Dguok
TJP3	Tjp3
MAGEL2	Magel2
NPAS3	Npas3
PTDSS2	Ptdss2
NAGPA	Nagpa
DBNL	Dbnl
GALNT1	Galnt1
PLCB4	Plcb4
GCAT	Gcat
ZNHIT2	Znhit2
LIMD1	Limd1
ZNF385A	Zfp385a
HSPB7	Hspb7
TNFRSF19	Tnfrsf19
SMTN	Smtn
CABP5	Cabp5
CABP2	Cabp2
GTSE1	Gtse1
CLIC4	Clic4
DNAJC12	Dnajc12
ZNF292	Zfp292
HEYL	Heyl
FBXW5	Fbxw5
APLN	Apln
ANGPTL3	Angptl3
SNAI3	Snai3
RNF19A	Rnf19a
DDAH2	Ddah2
DHX38	Dhx38
ZBTB43	Zbtb43
CCDC22	Ccdc22
FOXP3	Foxp3
DEXI	Dexi
LAMTOR2	Lamtor2
MRPS28	Mrps28
TMEM176B	Tmem176b
SSX2IP	Ssx2ip
ASF1A	Asf1a
SNX24	Snx24
BZW2	Bzw2
C11orf54	4931406C07Rik
CHMP2B	Chmp2b
LRP10	Lrp10
C19orf53	D8Ertd738e
ACAD9	Acad9
TMEM14C	Tmem14c
OGN	Ogn
TMPRSS11E	Tmprss11e
RGCC	Rgcc
MAGEH1	Mageh1
COMMD5	Commd5
MACROD1	Macrod1
KLF15	Klf15
PPP1R8	Ppp1r8
TRPS1	Trps1
SMARCAL1	Smarcal1
CD274	Cd274
TMEM230	Tmem230
WDR91	Wdr91
ZC3H7A	Zc3h7a
MRPL18	Mrpl18
MED4	Med4
METTL5	Mettl5
CRIPT	Cript
PHPT1	Phpt1
BABAM1	Babam1
THYN1	Thyn1
STXBP6	Stxbp6
LGALSL	Lgalsl
COMMD9	Commd9
ITPK1	Itpk1
SLC6A7	Slc6a7
ADAMTS3	Adamts3
ADAMTS2	Adamts2
TMEM5	Tmem5
SYCP2	Sycp2
TICAM1	Ticam1
C11orf58	1110004F10Rik
ADAM29	Adam29
IL1RAPL1	Il1rapl1
ADAMTS15	Adamts15
MGAT4B	Mgat4b
OLFM1	Olfm1
PUF60	Puf60
HABP4	Habp4
ITGB3BP	Itgb3bp
TDRD7	Tdrd7
CBX6	Cbx6
NPTXR	Nptxr
TRAM1	Tram1
ETHE1	Ethe1
QPRT	Qprt
SEC11C	Sec11c
PIK3R5	Pik3r5
RASD2	Rasd2
SMUG1	Smug1
VSIG2	Vsig2
KLHDC2	Klhdc2
CARHSP1	Carhsp1
LEMD3	Lemd3
HEBP2	Hebp2
ORC6	Orc6
PATZ1	Patz1
PPP1R15A	Ppp1r15a
SMPX	Smpx
CADM1	Cadm1
PPIL2	Ppil2
MTCH2	Mtch2
CLDN15	Cldn15
ZNF324	Zfp324
TNFAIP8	Tnfaip8
OPTC	Optc
HSPB8	Hspb8
FAM162A	Fam162a
AKAP8L	Akap8l
GPR160	Gpr160
FETUB	Fetub
ZBTB32	Zbtb32
ACAD8	Acad8
PELP1	Pelp1
SND1	Snd1
STAU2	Stau2
GHITM	Ghitm
LAMP3	Lamp3
TSPAN13	Tspan13
LYPD3	Lypd3
CACNG4	Cacng4
TAF5L	Taf5l
ZBTB11	Zbtb11
BBC3	Bbc3
DKK4	Dkk4
DKK2	Dkk2
INPP5J	Inpp5j
AFF4	Aff4
IL20RA	Il20ra
NAAA	Naaa
IL36A	Il1f6
IL17B	Il17b
TUBGCP4	Tubgcp4
SERP1	Serp1
ARFIP1	Arfip1
SIT1	Sit1
TNFRSF21	Tnfrsf21
SESN1	Sesn1
KLHL20	Klhl20
PCDH17	Pcdh17
CSDC2	Csdc2
CNTN6	Cntn6
SRPX2	Srpx2
RND1	Rnd1
R3HCC1L	R3hcc1l
SMPDL3B	Smpdl3b
DHDH	Dhdh
ADAMDEC1	Adamdec1
ZNF330	Zfp330
GOLIM4	Golim4
P2RY10	P2ry10
RABGEF1	Rabgef1
KCNMB4	Kcnmb4
SH3BP4	Sh3bp4
TMOD3	Tmod3
CARD10	Card10
TFCP2L1	Tfcp2l1
SENP1	Senp1
GALNT5	Galnt5
ZKSCAN5	Zkscan5
ARFGAP2	Arfgap2
ERO1B	Ero1lb
HUNK	Hunk
VSX1	Vsx1
NT5C	Nt5c
TAX1BP3	Tax1bp3
FAM120A	Fam120a
FAF2	Faf2
BRINP1	Brinp1
ZNF592	Zfp592
MICAL2	Mical2
MTFR1	Mtfr1
TTLL4	Ttll4
IQCB1	Iqcb1
LPIN2	Lpin2
DZIP3	Dzip3
PHF14	Phf14
FAM53B	Fam53b
GREB1	Greb1
UBE3C	Ube3c
EMC2	Emc2
CEP57	Cep57
ST18	St18
KIAA0355	4931406P16Rik
FAM131B	Fam131b
ADAMTSL2	Adamtsl2
ZNF646	Zfp646
RAB11FIP4	Rab11fip4
KIAA0408	9330159F19Rik
DCAF1	Vprbp
GPRASP1	Gprasp1
CCP110	Ccp110
ARHGAP32	Arhgap32
ZNF536	Zfp536
CLSTN1	Clstn1
TCAF1	Tcaf1
PHACTR2	Phactr2
SNPH	Snph
TBKBP1	Tbkbp1
TOX	Tox
MLEC	Mlec
LZTS3	Lzts3
KIAA0513	6430548M08Rik
ZFYVE16	Zfyve16
PCLAF	Pclaf
TMEM94	Tmem94
BCLAF1	Bclaf1
TBC1D5	Tbc1d5
RIMS3	Rims3
SNX17	Snx17
KIAA0586	2700049A03Rik
DLGAP5	Dlgap5
MTSS1	Mtss1
SPCS2	Spcs2
SERTAD2	Sertad2
CKAP5	Ckap5
MAML1	Maml1
SNX19	Snx19
PHYHIP	Phyhip
TATDN2	Tatdn2
IST1	Ist1
DHCR24	Dhcr24
MRPL19	Mrpl19
SCRN1	Scrn1
SPOCK2	Spock2
RNF40	Rnf40
EFCAB14	Efcab14
URB2	Urb2
TSC22D2	Tsc22d2
ARHGAP11A	Arhgap11a
RGP1	Rgp1
DNAJC6	Dnajc6
JAKMIP2	Jakmip2
ZEB2	Zeb2
ZBTB24	Zbtb24
PLEKHM1	Plekhm1
C2CD5	C2cd5
KIAA0753	4933427D14Rik
EPM2AIP1	Epm2aip1
C2CD2L	C2cd2l
FARP2	Farp2
KIAA0319	D130043K22Rik
CEP350	Cep350
LRIG2	Lrig2
AREL1	Arel1
FCHSD2	Fchsd2
ZC3H11A	Zc3h11a
TOX4	Tox4
ZBTB39	Zbtb39
RHOBTB1	Rhobtb1
PLPPR4	Plppr4
NUAK1	Nuak1
TECPR2	Tecpr2
WASHC5	Washc5
KLHL21	Klhl21
TMCC2	Tmcc2
SUPT7L	Supt7l
CHST15	Chst15
FAM20B	Fam20b
ZBTB40	Zbtb40
ZBTB5	Zbtb5
LPGAT1	Lpgat1
MFN2	Mfn2
KIF14	Kif14
HELZ	Helz
CD302	Cd302
DCLRE1A	Dclre1a
SUGP2	Sugp2
FAM3C	Fam3c
PDAP1	Pdap1
SCAF8	Scaf8
CEP162	Cep162
RHOBTB3	Rhobtb3
COBLL1	Cobll1
RNF44	Rnf44
DLGAP4	Dlgap4
RAB11FIP2	Rab11fip2
FRMPD1	Frmpd1
DOLK	Dolk
VASH1	Vash1
ZNF507	Zfp507
ADNP2	Adnp2
LMTK2	Lmtk2
NTNG1	Ntng1
CHSY1	Chsy1
ADGRL1	Adgrl1
FNDC3A	Fndc3a
R3HDM2	R3hdm2
SLITRK3	Slitrk3
CNKSR2	Cnksr2
FASTKD2	Fastkd2
INPP5F	Inpp5f
MORC2	Morc2a
ANKRD6	Ankrd6
ZHX2	Zhx2
SPAST	Spast
UBOX5	Ubox5
ZBTB1	Zbtb1
ZNF365	Zfp365
BAHD1	Bahd1
ARSG	Arsg
SBNO2	Sbno2
WDR47	Wdr47
SORCS3	Sorcs3
PCNX2	Pcnx2
RAB21	Rab21
EXOSC7	Exosc7
TMCC1	Tmcc1
USP33	Usp33
WDTC1	Wdtc1
ZHX3	Zhx3
EMC1	Emc1
CMTR1	Cmtr1
HECW1	Hecw1
MYCBP2	Mycbp2
PPRC1	Pprc1
EXPH5	Exph5
ZNF423	Zfp423
TTLL5	Ttll5
SARM1	Sarm1
TAB2	Tab2
HIC2	Hic2
CAMTA2	Camta2
POGZ	Pogz
NPHP4	Nphp4
ZZEF1	Zzef1
DCUN1D5	Dcun1d5
ZC3H3	Zc3h3
FCHO2	Fcho2
CLCC1	Clcc1
MPRIP	Mprip
STAB1	Stab1
TTLL12	Ttll12
ZCCHC14	Zcchc14
PASK	Pask
RGL1	Rgl1
PHF3	Phf3
ACSBG1	Acsbg1
TRIM9	Trim9
JMJD6	Jmjd6
FBXO28	Fbxo28
PLCL2	Plcl2
ARHGEF9	Arhgef9
SEL1L3	Sel1l3
DNAJC9	Dnajc9
ARC	Arc
TMEM131L	Tmem131l
COBL	Cobl
ANKRD12	Ankrd12
DNMBP	Dnmbp
FAM208A	Fam208a
CLUH	Cluh
ARAP2	Arap2
ADGRF5	Adgrf5
AGTPBP1	Agtpbp1
ANKS1A	Anks1
CYLD	Cyld
BICD2	Bicd2
KIF13B	Kif13b
TRIM71	Trim71
SYNM	Synm
JADE2	Jade2
TRIM37	Trim37
FNBP4	Fnbp4
ARHGEF12	Arhgef12
LARP1	Larp1
PPP1R13B	Ppp1r13b
UFL1	Ufl1
SMG5	Smg5
NUDCD3	Nudcd3
ASXL1	Asxl1
PPWD1	Ppwd1
CTDNEP1	Ctdnep1
ZFYVE26	Zfyve26
LRRC8B	Lrrc8b
POFUT1	Pofut1
R3HDM1	R3hdm1
LY96	Ly96
BCL2L13	Bcl2l13
HEPHL1	Hephl1
SUN2	Sun2
BRI3	Bri3
HECTD1	Hectd1
MOB4	Mob4
YIPF3	Yipf3
TECPR1	Tecpr1
ARMC8	Armc8
BRMS1L	Brms1l
HDAC7	Hdac7
ABHD14B	Abhd14b
NEPRO	Nepro
LETMD1	Letmd1
TMEM186	Tmem186
AASDHPPT	Aasdhppt
PAMR1	Pamr1
TRIM58	Trim58
INTS7	Ints7
KANSL1	Kansl1
TMEM158	Tmem158
AHCTF1	Ahctf1
DPCD	Dpcd
ZDHHC5	Zdhhc5
MTMR9	Mtmr9
ATL3	Atl3
MYRIP	Myrip
ZNF521	Zfp521
CNRIP1	Cnrip1
SOSTDC1	Sostdc1
GEMIN5	Gemin5
RAB11FIP5	Rab11fip5
WWTR1	Wwtr1
SAMHD1	Samhd1
TPGS2	Tpgs2
NECTIN3	Nectin3
KANK2	Kank2
TMEM87A	Tmem87a
EGFL6	Egfl6
TIPARP	Tiparp
NECAP2	Necap2
AAR2	Aar2
KRT23	Krt23
HINFP	Hinfp
CLIP3	Clip3
TBC1D10B	Tbc1d10b
GORASP2	Gorasp2
POLR2M	Polr2m
ZZZ3	Zzz3
TMEM98	Tmem98
ZNF451	Zfp451
SIPA1L1	Sipa1l1
SS18L1	Ss18l1
SETBP1	Setbp1
SLITRK5	Slitrk5
PPP1R16B	Ppp1r16b
SENP6	Senp6
RAI14	Rai14
POLDIP2	Poldip2
GPATCH4	Gpatch4
ARHGEF26	Arhgef26
PGM3	Pgm3
TOR1AIP1	Tor1aip1
CCDC9	Ccdc9
DCAF4	Dcaf4
SZRD1	Szrd1
LRIT1	Lrit1
WSB1	Wsb1
LDLRAP1	Ldlrap1
TCTN3	Tctn3
FGFR1OP2	Fgfr1op2
KIF1BP	Kif1bp
TRPC4AP	Trpc4ap
ZBTB20	Zbtb20
C1QTNF5	C1qtnf5
RIBC2	Ribc2
NAT9	Nat9
AAAS	Aaas
MTG2	Mtg2
SENP3	Senp3
CNPPD1	Cnppd1
SDCBP2	Sdcbp2
ERLEC1	Erlec1
MMADHC	Mmadhc
SGSM3	Sgsm3
BICRA	Bicra
PLA2G3	Pla2g3
CD207	Cd207
COL5A3	Col5a3
PODXL2	Podxl2
CALY	Caly
RBP3	Rbp3
SUFU	Sufu
SHROOM3	Shroom3
LPIN1	Lpin1
PROK2	Prok2
SALL2	Sall2
FBXO18	Fbxo18
FBXO16	Fbxo16
FBXO6	Fbxo6
HS6ST2	Hs6st2
FBXL8	Fbxl8
DMRT1	Dmrt1
ADAR	Adar
UBXN1	Ubxn1
RIPOR2	Ripor2
SLC14A1	Slc14a1
MBTPS2	Mbtps2
HOOK1	Hook1
PRLH	Prlh
GMNN	Gmnn
ZMYND10	Zmynd10
PLA1A	Pla1a
UBR5	Ubr5
TRIM33	Trim33
SRRT	Srrt
WDPCP	Wdpcp
ZNF691	Zfp691
TXNDC11	Txndc11
ATL1	Atl1
CALHM2	Calhm2
CUTA	Cuta
LSR	Lsr
MTERF3	Mterf3
AMDHD2	Amdhd2
SLC35B3	Slc35b3
NOSIP	Nosip
TMX2	Tmx2
CUTC	Cutc
MRPS17	Mrps17
MRPS7	Mrps7
CRYL1	Cryl1
UCHL5	Uchl5
CRLF3	Crlf3
PLLP	Pllp
RRNAD1	Rrnad1
TRNT1	Trnt1
SCCPDH	Sccpdh
IFT52	Ift52
DYNC2LI1	Dync2li1
SH3GLB1	Sh3glb1
ZC2HC1A	Zc2hc1a
PHF20L1	Phf20l1
TFB1M	Tfb1m
APH1A	Aph1a
LACTB2	Lactb2
DHRS7	Dhrs7
C14orf166	2700060E02Rik
DERL2	Derl2
EXOSC1	Exosc1
SF3B6	Sf3b6
ISOC1	Isoc1
WASHC3	Washc3
COPZ1	Copz1
PPIL1	Ppil1
MED31	Med31
MRPS16	Mrps16
MRPS18C	Mrps18c
VPS36	Vps36
GLOD4	Glod4
STYXL1	Styxl1
RBM7	Rbm7
EIF3L	Eif3l
COMMD2	Commd2
MPC1	Mpc1
GOLGA7	Golga7
TRIM17	Trim17
ASB1	Asb1
ASB4	Asb4
KCTD3	Kctd3
CEP83	Cep83
SARAF	Saraf
INSIG2	Insig2
CPQ	Cpq
DYNC1LI1	Dync1li1
COMMD10	Commd10
UBAC1	Ubac1
OAZ3	Oaz3
SLC45A2	Slc45a2
SERPINA10	Serpina10
CRNN	Crnn
TMEFF2	Tmeff2
KIF20B	Kif20b
LSM8	Lsm8
AMOTL2	Amotl2
PDGFC	Pdgfc
TRAPPC2L	Trappc2l
C3orf18	6430571L13Rik
TRIP4	Trip4
EGFL7	Egfl7
DBR1	Dbr1
DCTN4	Dctn4
DDX41	Ddx41
VPS29	Vps29
GPRC5B	Gprc5b
SCARA3	Scara3
EMCN	Emcn
IMPG2	Impg2
HPCAL4	Hpcal4
TUBD1	Tubd1
FZR1	Fzr1
VGLL1	Vgll1
RNF138	Rnf138
TOB2	Tob2
PLEKHO1	Plekho1
CDH9	Cdh9
CNOT1	Cnot1
UIMC1	Uimc1
TRAP1	Trap1
PCYOX1	Pcyox1
FBXO40	Fbxo40
CRBN	Crbn
RSL24D1	Rsl24d1
DNAJB11	Dnajb11
GULP1	Gulp1
RHBG	Rhbg
UPB1	Upb1
SFMBT1	Sfmbt1
ZNF639	Zfp639
PLCE1	Plce1
NAT8	Nat8
SLCO4A1	Slco4a1
DCDC2	Dcdc2a
LIMA1	Lima1
IRX4	Irx4
GHRL	Ghrl
GP6	Gp6
CLDN18	Cldn18
ANKFY1	Ankfy1
CD244	Cd244
HACD3	Hacd3
NELFCD	Nelfcd
HYPK	Hypk
CWC15	Cwc15
UFC1	Ufc1
RTFDC1	Rtfdc1
CDK5RAP1	Cdk5rap1
RNF141	Rnf141
ZNF219	Zfp219
ABI3	Abi3
PHF20	Phf20
HIGD1B	Higd1b
VRK3	Vrk3
CRIM1	Crim1
MPP5	Mpp5
NCKIPSD	Nckipsd
TMEM9	Tmem9
PRKD2	Prkd2
CXXC5	Cxxc5
TMEM138	Tmem138
ANKRD39	Ankrd39
COX16	Cox16
OSER1	Oser1
GSKIP	Gskip
CCDC174	Ccdc174
JKAMP	Jkamp
PDZD11	Pdzd11
TMEM69	Tmem69
PPHLN1	Pphln1
NT5C3A	Nt5c3
MRPL37	Mrpl37
RNF181	Rnf181
TBC1D7	Tbc1d7
MARCH2	March2
TMEM216	Tmem216
PBDC1	Pbdc1
MRPL27	Mrpl27
SCLY	Scly
CLEC1A	Clec1a
C9orf78	BC005624
SYT17	Syt17
UBAP1	Ubap1
NINJ2	Ninj2
DNAJC27	Dnajc27
C1RL	C1rl
TM7SF3	Tm7sf3
ANKMY1	Ankmy1
PEX5L	Pex5l
BFAR	Bfar
RASL12	Rasl12
COA4	Coa4
RXFP3	Rxfp3
LGSN	Lgsn
GMIP	Gmip
NT5DC3	Nt5dc3
CD320	Cd320
PCDH12	Pcdh12
MBIP	Mbip
NRN1	Nrn1
TIMMDC1	Timmdc1
CYP39A1	Cyp39a1
FKBP11	Fkbp11
ZDHHC3	Zdhhc3
MYOZ2	Myoz2
FAM13B	Fam13b
FAM53C	Fam53c
ARMCX3	Armcx3
ARMCX1	Armcx1
FAM198B	Fam198b
TDP2	Tdp2
SLC6A13	Slc6a13
NME8	Nme8
UFM1	Ufm1
KRCC1	Krcc1
PHF21A	Phf21a
MRPL35	Mrpl35
FAM49B	Fam49b
MEX3C	Mex3c
SPG21	Spg21
PAXBP1	Paxbp1
ARL6IP4	Arl6ip4
MRPS30	Mrps30
DACT1	Dact1
SYT3	Syt3
SNTB1	Sntb1
CNTFR	Cntfr
CLDN1	Cldn1
CLDN2	Cldn2
RECK	Reck
INCENP	Incenp
CLEC4F	Clec4f
DNAJC5	Dnajc5
BOK	Bok
MZF1	Mzf1
BANP	Banp
RBMS1	Rbms1
ACRBP	Acrbp
RAB33B	Rab33b
PDLIM1	Pdlim1
HIF3A	Hif3a
DEAF1	Deaf1
CLDN7	Cldn7
FUT8	Fut8
TIMM23	Timm23
SPINT1	Spint1
RWDD2B	Rwdd2b
STX18	Stx18
UBN1	Ubn1
TAS2R16	Tas2r118
PARD6A	Pard6a
SPOCK3	Spock3
CKLF	Cklf
TBX22	Tbx22
OLIG1	Olig1
MYADM	Myadm
GJA3	Gja3
OGT	Ogt
MRPL39	Mrpl39
HOXC10	Hoxc10
IL1RAPL2	Il1rapl2
COQ3	Coq3
GALNT7	Galnt7
PTOV1	Ptov1
DUOX2	Duox2
A4GALT	A4galt
MDM1	Mdm1
POLE3	Pole3
C21orf91	D16Ertd472e
BAIAP2	Baiap2
ENAM	Enam
UBQLN3	Ubqln3
FEV	Fev
CNOT11	Cnot11
FOXRED1	Foxred1
EPDR1	Epdr1
FNDC8	Fndc8
IL17RD	Il17rd
FAM20A	Fam20a
NAGK	Nagk
ZRANB1	Zranb1
CHRNA9	Chrna9
UBE2Q1	Ube2q1
TRIM44	Trim44
MIOX	Miox
BTG4	Btg4
ZC3H7B	Zc3h7b
NKIRAS2	Nkiras2
VEZT	Vezt
RNF111	Rnf111
NSMCE4A	Nsmce4a
RNPC3	Rnpc3
ALKBH4	Alkbh4
DNAJB12	Dnajb12
CDKN2AIP	Cdkn2aip
KCTD9	Kctd9
MED18	Med18
CARMIL1	Carmil1
HAUS6	Haus6
CNNM2	Cnnm2
AHI1	Ahi1
AFTPH	Aftph
QPCTL	Qpctl
GATAD2A	Gatad2a
TRPM6	Trpm6
ANKRD10	Ankrd10
ZNF280C	Zfp280c
FERMT1	Fermt1
TRPM7	Trpm7
BCAS3	Bcas3
BSPRY	Bspry
LRRC49	Lrrc49
BIVM	Bivm
MFSD6	Mfsd6
ESRP1	Esrp1
ANKRD49	Ankrd49
PAQR5	Paqr5
WDR55	Wdr55
FAM83E	Fam83e
GDPD2	Gdpd2
PGPEP1	Pgpep1
ELP6	Elp6
TASP1	Tasp1
SNRK	Snrk
STAP2	Stap2
PPP1R14D	Ppp1r14d
TMEM214	Tmem214
TMEM104	Tmem104
QRICH1	Qrich1
PALMD	Palmd
CNTLN	Cntln
POMGNT1	Pomgnt1
ZCCHC2	Zcchc2
BCOR	Bcor
SMPD4	Smpd4
PLPPR1	Plppr1
UHRF1BP1	Uhrf1bp1
NSUN2	Nsun2
ALKBH5	Alkbh5
INO80D	Ino80d
NCAPG2	Ncapg2
PNRC2	Pnrc2
MTMR10	Mtmr10
CASZ1	Casz1
LRRC40	Lrrc40
PXK	Pxk
CDKAL1	Cdkal1
TTC19	Ttc19
MKS1	Mks1
DEPDC1	Depdc1a
SPDL1	Spdl1
SYBU	Sybu
WBP1L	Wbp1l
FLVCR2	Mfsd7c
FOCAD	Focad
YTHDF1	Ythdf1
CMTM6	Cmtm6
RASIP1	Rasip1
CHCHD3	Chchd3
IMPAD1	Impad1
TMEM161A	Tmem161a
HAUS4	Haus4
RAB20	Rab20
WRAP73	Wrap73
TRMT10C	Trmt10c
MARCH5	March5
ADPRHL2	Adprhl2
CCDC169-SOHLH2	Sohlh2
COMMD4	Commd4
OCIAD1	Ociad1
DNAJC28	Dnajc28
SLC41A2	Slc41a2
LPCAT1	Lpcat1
MRPL16	Mrpl16
COMMD8	Commd8
FAM120C	Fam120c
TMEM127	Tmem127
PARP16	Parp16
TXNL4B	Txnl4b
TMEM160	Tmem160
GEMIN8	Gemin8
C1orf56	Gm128
PIGX	Pigx
INTS8	Ints8
ZNF692	Zfp692
TMEM70	Tmem70
INTS11	Ints11
ASB6	Asb6
SLC35F6	Slc35f6
C2orf42	C87436
CLN6	Cln6
WDR13	Wdr13
HCFC1R1	Hcfc1r1
MARC2	Marc2
TPCN1	Tpcn1
HIF1AN	Hif1an
LAMTOR1	Lamtor1
ZNF446	Zfp446
FAM118A	Fam118a
CDC37L1	Cdc37l1
PIH1D1	Pih1d1
PPP2R3C	Ppp2r3c
MCU	Mcu
STX17	Stx17
